order_no,id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,filled_avg_price,qty,filled_qty,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm,asset_id,symbol,current_price,pnl
846,309e8017-1de4-4e1b-9423-1f07d4dd884b,2023-06-07 18:10:26.109638+00:00,2023-06-07 18:10:26.164227+00:00,2023-06-07 18:10:26.108171+00:00,2023-06-07 18:10:26.111476+00:00,,,,,14.641457404,141.0,141.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-142.61549396399997
847,18dc020f-599f-47b7-8cbc-fa664c81edc2,2023-06-07 18:10:26.067467+00:00,2023-06-07 18:14:17.564716+00:00,2023-06-07 18:10:26.066158+00:00,2023-06-07 18:14:17.523460+00:00,,,,,14.611643264,47.0,47.0,limit,buy,gtc,14.611643264,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-46.13723340799994
848,ed99d53f-caaf-48b1-a343-80e70c1b683d,2023-06-07 18:10:24.190798+00:00,2023-06-07 18:10:24.213910+00:00,2023-06-07 18:10:24.189535+00:00,2023-06-07 18:10:24.192591+00:00,,,,,115.7377241,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-83.94130969999995
849,b43720b0-2e78-4505-97f0-23eda8523d92,2023-06-07 18:10:24.145979+00:00,2023-06-07 18:16:50.213650+00:00,2023-06-07 18:10:24.144778+00:00,2023-06-07 18:16:50.180978+00:00,,,,,115.465798488,15.0,15.0,limit,buy,gtc,115.465798488,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-69.98697732000011
850,75a97443-66d0-46a1-b913-5e6ff7d66bb4,2023-06-07 18:10:21.653240+00:00,2023-06-07 18:10:21.663629+00:00,2023-06-07 18:10:21.651951+00:00,2023-06-07 18:10:21.655083+00:00,,,,,1919.7617714,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-80.14177140000015
851,4d3fc21a-f9f3-4e13-bd07-716a6c50204d,2023-06-07 18:10:21.601528+00:00,2023-06-07 18:10:21.613840+00:00,2023-06-07 18:10:21.600198+00:00,2023-06-07 18:10:21.603564+00:00,,,,,1920.3291,1.0,1.0,limit,buy,gtc,1921.38801797,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-80.70910000000003
852,7842254f-1bf6-42e7-ab20-302f2fab90b9,2023-06-07 18:10:19.708475+00:00,2023-06-07 18:10:19.763665+00:00,2023-06-07 18:10:19.707103+00:00,2023-06-07 18:10:19.711004+00:00,,,,,91.89,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-66.43999999999991
853,e296c96c-174e-4a96-b6af-07181f1be9ba,2023-06-07 18:10:19.665847+00:00,2023-06-07 18:10:19.713817+00:00,2023-06-07 18:10:19.664632+00:00,2023-06-07 18:10:19.668938+00:00,,,,,91.89594,17.0,17.0,limit,buy,gtc,92.450725061,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-51.440979999999854
854,c228f58a-3b60-4b33-b65f-c946aa169b4c,2023-06-07 18:10:17.448682+00:00,2023-06-07 18:10:17.463744+00:00,2023-06-07 18:10:17.446923+00:00,2023-06-07 18:10:17.450954+00:00,,,,,19.78037,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-271.47848
855,92f91294-4a2b-4568-b358-476ac4e95138,2023-06-07 18:05:21.410115+00:00,2023-06-07 18:05:21.463522+00:00,2023-06-07 18:05:21.408677+00:00,2023-06-07 18:05:21.412109+00:00,,,,,1919.3128838,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-79.69288380000012
